c_custkey,c_name,c_address,c_nationkey,c_phone,c_comment
284,Customer#000000284,2ZgAkaBgb6aigORfIfUd3kHbPi42,6,16-161-235-2690,lar gifts. carefully even deposits boost! furiously even braids use afte
312,Customer#000000312,cH6XucXV0V,6,16-316-482-2555,e slyly. furiously regular pinto beans wake slyly according to the fluffily even excuses. ca
319,Customer#000000319, UQ5mF3sdoZT2,6,16-734-928-1642," packages use slyly always ironic deposits. unusual, even notornis above"
402,Customer#000000402,"8Cw4p1m1gKYVUgomkAq,es1ZtrnmHaO",6,16-950-729-1638,dolites. furiously regular theodolites integrate furiously. bravely bold requests are. furiously
413,Customer#000000413,",4Jm5N0ruhJCB7cBR6Kw",6,16-158-285-7336,ular packages integrate furiously fluffily final accounts. carefully regular 
431,Customer#000000431,RNfSXbUJkgUlBBPn,6,16-326-904-6643,"e quickly. final, even excuses against the even accounts sleep agai"
452,Customer#000000452,",TI7FdTc gCXUMi09qD",6,16-335-974-9174,aggle quickly. unusual instructions i
455,Customer#000000455,"sssuscPJ,ZYQ8viO",6,16-863-225-9454,"l wake. blithely final instructions integrate furiously above the final, regular req"
459,Customer#000000459,CkGH34iK 9vAHXeY7 wAQIzJa1cmA8DAEA7m,6,16-927-662-8584,"ronic, regular dependencies use above the ironic deposits. carefully express packages use car"
516,Customer#000000516,EJwOQMTQnFwvd8r Y7f9i5POy6ZlNkIYxCL hg8t,6,16-947-309-2690,final requests after the furiously 
539,Customer#000000539,FoGcDu9llpFiB LELF3rdjaiw RQe1S,6,16-166-785-8571,ent instructions. pending patter
587,Customer#000000587,J2UwoJEQzAOTtuBrxGVag9iWSUPTp,6,16-585-233-5906,ve the final asymptotes. carefully final deposits wake fu
667,Customer#000000667,"oQqeEC,OD9XC1JXyOsHqcpv0fPUdP9ek5KKb70tQ",6,16-917-453-2490,lithely about the furiously sil
683,Customer#000000683,"G0, q8c6vBykpiLvcuSJLYvqE",6,16-566-251-5446, somas use-- slyly express foxes wake quickly blithely iro
686,Customer#000000686,1j C80VWHe ITCVCV,6,16-682-293-3599, even deposits print quickly. foxes wake. furiously ironic asymptotes across the bold foxes
703,Customer#000000703,ge1GEYt4ewGUiSeqBA4rNB5JhyQ92uKF,6,16-741-513-6919,arefully final accounts cajole quickly blith
712,Customer#000000712, 8w2pIiA4wWAhtjAdXR,6,16-843-486-5087, express dependencies use fluffily final platelets. furiously regular accounts wake furiously. carefully careful cou
833,Customer#000000833,"t3qDCo,Yh MZcJFV6PibeY,MUunz",6,16-624-307-4875,uickly final orbits across the blithely express accounts integrate furiously among the final sheaves. blithe
873,Customer#000000873,XFnr9C2bANXL,6,16-375-385-5712,"lithely ironic, silent forges. furious"
897,Customer#000000897,nW1X1Hl9uWycuBEu3F3,6,16-988-776-4568,"riously regular ideas sleep into the final, unusual"
906,Customer#000000906,1Uavkms1A5z,6,16-594-569-6627, accounts. furiously silent ins
1021,Customer#000001021,m h2wQbujQnQOrcf109reW0 o,6,16-469-554-5196,courts could hang quickly express epitaphs. foxes haggle above the carefully unusual requ
1097,Customer#000001097,a wMc0lQutcHs6cRomoMCGjvM0MwEk4uyrxKI3,6,16-604-758-5574,p carefully. carefully special excuses haggle carefully about th
1111,Customer#000001111,gavpg6eW5lEML,6,16-824-312-3537,s are slyly quiet requests. darin
1182,Customer#000001182,"pLrF7F1,uoyGaU",6,16-229-473-7194,jole carefully. furiously final pinto beans detect. f
1238,Customer#000001238,"HGCJI27,RIIQcS20,DcJbMQuUmN3Vhzdm",6,16-302-171-7578,"ly special requests. unusual, special asymptotes according to the blithely express pinto beans wake en"
1379,Customer#000001379,rqYSBCMywMKnfcp2DwotVqI,6,16-695-982-9623,sly ironic requests cajole fluffi
1402,Customer#000001402,F7 m0JwiCABmbJLPQpCJ2,6,16-713-144-2780,"g the carefully express dolphins: special, pending packages affix after the packa"
1477,Customer#000001477,nUT6kGEr7tmgpJaPgfFtXY,6,16-407-756-8079,ites nag blithely alongside of the ironic accounts. accounts use. carefully silent deposits
20,Customer#000000020,JrPk8Pqplj4Ne,22,32-957-234-8742,g alongside of the special excuses-- fluffily enticing packages wake 
26,Customer#000000026,8ljrc5ZeMl7UciP,22,32-363-455-4837,c requests use furiously ironic requests. slyly ironic dependencies us
66,Customer#000000066,XbsEqXH1ETbJYYtA1A,22,32-213-373-5094,le slyly accounts. carefully silent packages benea
70,Customer#000000070,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,22,32-828-107-2832,fter the special asymptotes. ideas after the unusual frets cajole quickly regular pinto be
83,Customer#000000083,HnhTNB5xpnSF20JBH4Ycs6psVnkC3RDf,22,32-817-154-4122,"ccording to the quickly bold warhorses. final, regular foxes integrate carefully. bold packages nag blithely ev"
111,Customer#000000111,CBSbPyOWRorloj2TBvrK9qp9tHBs,22,32-582-283-7528,ly unusual instructions detect fluffily special deposits-- theodolites nag carefully during the ironic dependencies
126,Customer#000000126,ha4EHmbx3kg DYCsP6DFeUOmavtQlHhcfaqr,22,32-755-914-7592,"s about the even instructions boost carefully furiously ironic pearls. ruthless, "
172,Customer#000000172,KwgdKUL1G2WacsMNF50yX,22,32-178-964-1847,"losely regular, unusual instructions. "
183,Customer#000000183,aMAB2QSb8 86MAx,22,32-771-279-8154,sual accounts across the slyl
189,Customer#000000189,r51HSq Rg8wQgF1CBfG1Vbye3GK,22,32-980-348-1114,sly express patterns. ideas on the regular d
195,Customer#000000195,WiqQD8hscyKekjMcSBA7AX 0AbxvBV,22,32-757-684-6845, should detect blithely. quickly even packages above the deposits wak
232,Customer#000000232,"oA9o,3YOXu2rzKONdd,cxpqCFXUv5kuxBYKp",22,32-283-563-2674,"ges sleep. final, bold theodolites are quickly final packages. furiously ironic packages are slyly fi"
275,Customer#000000275,M1UCTKrZLOgSyr,22,32-194-864-6861,y regular deposits. fluffily ironic packages cajole along the 
286,Customer#000000286,7 7uVDrpkWuozyEd,22,32-274-308-4633,ly special accounts haggle slyly slyly fluffy req
332,Customer#000000332,"Jfosq,G6ziag7M04IvCx7SMRafyYvSI,Do",22,32-767-972-2596, around the pinto beans. final theodolites haggle
368,Customer#000000368,9p ReFA4fseKWYUaUHi,22,32-552-596-4994,ic asymptotes. quickly special packages along the bravely bold depos
371,Customer#000000371,dnxjCYwhuSHx 9KX38nV0R16fG,22,32-119-346-2028,"equests shall boost furiously special pinto beans. express, ironic ideas sleep across the ironi"
374,Customer#000000374,"fg4eklU1,UaFOan",22,32-282-723-3627,ges are carefully. slyly ironic deposits about the fin
378,Customer#000000378,"133stqM9 LT,a2BSlbm49 nXreFggaZgW6P6J",22,32-147-793-4825,ackages haggle fluffily ironic packages.
396,Customer#000000396,miE7JrCdGpQkF4zYJ27tBdSu IYhQ HXx0 ,22,32-902-936-4845,xcuses. regular pains wake slyly across the ruthlessly ironic dependencies. e
404,Customer#000000404,2orgvLJ05jOvM292mhkS7iJmHG0jk,22,32-840-785-1776,uickly brave requests haggle furiously carefully special idea
412,Customer#000000412,"5IN2Y,QrhDJ2YBVGKiDbMpzi2hk1fmozIy2zQ",22,32-940-318-3191,ithely silent notornis haggle. regular requests haggle according to the ironic deposits. blithely final dep
490,Customer#000000490," 66fG3Fyb946cVQsH9Z3VMNzR,yfHMKIEB",22,32-268-147-7824,"ash carefully never bold instructions. regular, bold asymptotes cajole regularly. quickly bold foxes wak"
547,Customer#000000547,4h SK3dVkE1tQ0NCh,22,32-696-724-2981,y express deposits. slyly ironic deposits nod slyly slyly ironic instructions. carefully quick idea
642,Customer#000000642,6Y1gEH0gMLh0yzlipNR,22,32-925-597-9911, requests cajole blithely quick
665,Customer#000000665,Fo9QgQsDOP28D3zR,22,32-759-858-2984,y along the special requests. blithely regular waters thrash abou
696,Customer#000000696,dYyj4azN0EE GqeZxv,22,32-923-916-5643, ironic ideas among the carefully bold foxes na
710,Customer#000000710,"OCLSZuXw1AEK NLvlofMkuK,YNe,bJD40a",22,32-459-427-9559,"ges integrate express, even ideas"
720,Customer#000000720,"8shFEL7J9sq1NJXR8dixBqaTO,kbSx",22,32-575-838-4260,furiously above the furiously ironic c
839,Customer#000000839,Ch8 wZk5UKK45BSq1uZLJL0Z A8UUoms,22,32-435-825-7973, close accounts. unusual pinto beans sleep quickly slyly bold instructions. blithely unusu
840,Customer#000000840,9wA4l70okCEW3GnYQvlIAXetDgD50l,22,32-802-156-1748,usly according to the slyly regular pinto beans. blithely regula
850,Customer#000000850,GdhPVh9rkPqSt v17ZuxIlx8c1N8G,22,32-546-203-4000,ly ironic accounts whithout the regular waters are blithely abo
868,Customer#000000868,cFG8Fa5h1e uvHJ9pgZAO,22,32-850-421-3334,the requests. regular dinos at the even requests use furiously around the sheaves. slyly final theodolites bo
947,Customer#000000947,JnzDRxqCwjRPyeq70wrxzKWLXI,22,32-838-393-6825, blithely final instructions grow furiously ironic requests. furiously special theodolites sleep after 
953,Customer#000000953,5HJQ8UzSSl1PJv28MpZqWvNwUm,22,32-829-961-2870, according to the carefully bold dependencies use boldly slyly express deposits. car
996,Customer#000000996,yjrSjcG z0Rm5PYrVMFTrU pFRMw,22,32-902-625-1946,"hely against the final, brave asymptotes. final ideas haggle slyly bold pinto beans. slyly unusu"
1000,Customer#000001000,hzM1shTwWlLuk,22,32-730-275-2976," closely against the slyly special deposits. regular, ironic p"
1062,Customer#000001062,3OYrGEJC1YUa9DP,22,32-207-600-8684,ag. carefully regular asymptotes a
1065,Customer#000001065,qGBa7X0dOMsKLuYBpShpJVwGyU9rh,22,32-605-226-2449,nts. quickly quick dolphins run
1088,Customer#000001088,"YjXQtOJoM0nhClEy0,WFdNxvJ1g6xpn kL2ommEv",22,32-324-225-2635,ly special ideas. slyly unusual requests haggle
1098,Customer#000001098,XVJb1HxQeLu9x,22,32-206-732-5183,evenly unusual deposits. slyly even ideas according
1105,Customer#000001105,"cZhhOUzv6,Vbaa2bFT",22,32-885-298-6750,y final packages. furiously ironic packages was. fluffily ironic instructions integrate
1109,Customer#000001109,BJCfTYEV9eCDraeyO3v,22,32-194-697-1794,"r accounts. bold, final pinto beans wake carefully even Tiresias. quickly busy frays above the blithely ironic de"
1130,Customer#000001130,60zzrBpFXjvHzyv0WObH3h8LhYbOaRID58e,22,32-503-721-8203,s requests nag silently carefully special warhorses. special accounts hinder slyly. fluffily enticing
1132,Customer#000001132,6dcMOh60XVGcGYyEP,22,32-953-419-6880,"ges. final, special requests nag carefully carefully bold deposits. ironic requests boost slyly through th"
1138,Customer#000001138,"8 9P,dIGWnrrDiVs0S",22,32-236-817-2959," instructions cajole thinly ironic requests. regular packages affix. ironic, final pinto beans ac"
1139,Customer#000001139,UDGG69rYgUGayNk 9vFytd5q3nZdeRZQNSfL6,22,32-182-662-9475,y pending pinto beans haggle blit
1141,Customer#000001141,A6uzuXpgRPp19ek8K8zd5O,22,32-330-618-9020, accounts. furiously pending deposits cajole. c
1200,Customer#000001200,2PFysvL4pk80l,22,32-890-210-4199,nent frets. blithely bold pearls thrash across the r
1212,Customer#000001212,kjiVLfadsq6sU3A6MYwySu XZnWzgkiWSa9v3K 6,22,32-462-274-7707,e quickly unusual pinto beans. packages need to sleep furiously. regular asymptotes are furiously. final packages 
1218,Customer#000001218,JYNvUpFG0dDy7aJNhl2zLyIxUGqZZ35ncUe,22,32-299-871-1751,"packages hang against the unusual, unusual accounts"
1221,Customer#000001221,4mmeiymVdRmz,22,32-185-876-3586,"express, bold pinto beans. packages would detect alongside of the quickly bold "
1337,Customer#000001337,ACAMJe2Xdw2BCgHrGMd0BX,22,32-528-594-1931,"n, express gifts. express, fluffy pinto beans sleep. regula"
1367,Customer#000001367,gN803k703pZ1YizV5fp6S8,22,32-462-328-6604,riously theodolites. slyly bold excuses thrash slyly final pinto beans. instructions use
1381,Customer#000001381,HqKfFUD6Ib9yoFM5cIgMxjXaqdJAyKSN5w Od,22,32-418-900-6494,foxes thrash slyly express foxes. even th
1392,Customer#000001392,iXmNoe7IBgjc,22,32-561-640-4912," sleep fluffily across the final, pendi"
1410,Customer#000001410,yEUlreh6mkGmg8SIwKZooUOJ42kuZwAptaR4HAJ,22,32-358-270-1819,"lar, express packages cajole bravely permanently final packages. blithely even dolphins nag finally special theo"
1424,Customer#000001424, 3QsPgbVLZ,22,32-542-134-6212, instructions against the furiously express accounts doze fluffily unusual d
1449,Customer#000001449,"lNFczqF3TjlSO9BuO3jqXY,b",22,32-827-813-3340,ructions wake slyly ironic notornis? slyly express courts wake along the slowly 
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,19,29-316-665-2897,ial requests: carefully pending foxes detect quickly. carefully final courts cajole quickly. carefully
102,Customer#000000102,UAtflJ06 fn9zBfKjInkQZlWtqaA,19,29-324-978-8538,ously regular dependencies nag among the furiously express dinos. blithely final
112,Customer#000000112,RcfgG3bO7QeCnfjqJT1,19,29-233-262-8382,rmanently unusual multipliers. blithely ruthless deposits are furiously along the
125,Customer#000000125,",wSZXdVR xxIIfm9s8ITyLl3kgjT6UC07GY0Y",19,29-261-996-3120,x-ray finally after the packages? regular requests c
135,Customer#000000135,"oZK,oC0 fdEpqUML",19,29-399-293-6241, the slyly final accounts. deposits cajole carefully. carefully sly packag
149,Customer#000000149,3byTHCp2mNLPigUrrq,19,29-797-439-6760,al instructions haggle against the slyly bold w
151,Customer#000000151,"LlyEtNEXT6kkZ,kGP46H",19,29-433-197-6339,regular dugouts: blithely even dolphins cajole furiously carefull
154,Customer#000000154,2LAlU fDHkOqbXjHHDqw1mJQNC,19,29-522-835-6914,nic packages haggle blithely across the
208,Customer#000000208,"Abye1MwcNfY0KO6yqv,Wwe",19,29-859-139-6234,le carefully according to the quickly silent packages. quickly ironic packages affix according to the ruthles
237,Customer#000000237,R dtznB5ocPPo,19,29-414-970-5238,regular pinto beans sleep furiously ironically silent theodolites. quickly ironic courts after the deposits sleep f
274,Customer#000000274,adesXwNumnPqsKgsE1groEAwdKNgZ,19,29-330-389-1442,gular dependencies. ironic foxes haggle du
317,Customer#000000317,uOeuL8DG1j,19,29-615-537-8871,ages. hockey players are. dependencie
372,Customer#000000372,aKPMNZfbgV0neVIBo,19,29-226-339-6392,. furiously even foxes sleep at the forges. bold accounts sleep after the ironic theodolites. ironi
401,Customer#000000401,"aKALIG526OK4veQfUh2KmKcE,oRyg",19,29-667-766-5291,l instructions wake. slyly express deposits us
414,Customer#000000414,i49DWI61AFb 45vb1RMH,19,29-552-380-2475,"sily silent, even accounts. careful, final ideas boost fluffily. slyly final pinto be"
424,Customer#000000424,"i4cf3kmRE9IJr,cu,1",19,29-891-311-6778,"bove the express, final deposits wake furiously furiou"
426,Customer#000000426,GjFjM4zjbyhNrV6XlE,19,29-768-330-6311,ar instructions are against the ironic platelets. slyly final acc
436,Customer#000000436,4DCNzAT842cVYTcaUS94kR0QXHSRM5oco0D6Z,19,29-927-687-6390,olites engage carefully. slyly ironic asymptotes about the ironi
485,Customer#000000485,"XeFbvXCQ,J",19,29-434-961-1623,ecial pinto beans. instructions ought to cajole even
498,Customer#000000498,"1Wnja9i7KAC3HxS5yATK,In8Q6AHcEUr0f5Tp",19,29-210-810-1479,yly pending requests according to the slyly special asymptotes sleep carefully against the slyly even pack
525,Customer#000000525,w0pOG5FhH45aYg7mKtHQhAWQKe,19,29-365-641-8287, blithely bold accounts about the quietl
531,Customer#000000531,ceI1iHfAaZ4DVVcm6GU370dAuIEmUW1wxG,19,29-151-567-1296,"e the brave, pending accounts. pending pinto beans above the "
538,Customer#000000538,u9jYEMPoKwrH5wXivkSebbxAx1PU,19,29-632-471-2852,uffily special requests nag around the quickly stealthy
546,Customer#000000546,GZtBXX3OaqFLbC9JNi1hmF1JFLbmRs9,19,29-936-444-8248,ly fluffy braids. blithely special theodolites use express deposits-- slyly regular attainments
560,Customer#000000560,gU5FQf0WM0sxTYQ,19,29-618-467-8489,sly pending packages boost slyly-- fluffily ironic ideas bel
589,Customer#000000589,TvdYNogIzDfr 1UyJE4b9RTENPmffmIoH,19,29-479-316-3576,"s; blithely ironic theodolites sleep-- accounts haggle around the furiously silent ideas. silent, final packages in"
595,Customer#000000595,"7Q17BacxM,liY2AwhnHGR0Pjf1180sMz1U",19,29-554-215-7805,gular accounts x-ray carefully against the slyl
603,Customer#000000603,DFAIWiyqZ0GzuF6AWCZX3DcDxyICb3EWxEw,19,29-629-573-6194,n packages wake carefully. special requests haggle slyly carefully bold deposits. furiously regular pinto b
611,Customer#000000611,E1dtWGHE7NrLfnSKLPFU,19,29-924-242-5243,inst the slyly final accounts. final packages wake after the even pinto beans. carefully
631,Customer#000000631,By LIK3TbJ67sJLlpaoOCXZheuX,19,29-864-813-2575,bold platelets haggle. slyly even pearls can solve slyly among the final foxes. slyly unusual r
657,Customer#000000657,BpXQ3sbx8bCU0,19,29-952-164-8914,ies boost slyly bravely express instructions. fluffily even theodolites integrate s
692,Customer#000000692,"d6XE9sg,  wINvIz8aZS b8n XuhAQU5",19,29-804-421-1703,cuses. slyly even asymptotes doubt quickly. fluffily thin theodolites boost. ca
706,Customer#000000706,ycxysGDuWHN98FS4lZ2obT9ZPNRWjJTsHbQXvi,19,29-468-275-6045,ses cajole furiously after the ironic requests. pinto beans sleep busi
715,Customer#000000715,9qLvF42uxUarKl4I 2pEKOMNJmo8Ro5EK,19,29-500-408-6392,hins boost quickly. quickly regular epitaphs haggle fluffily quickly bold pinto beans. regular
761,Customer#000000761,oObRVLlulGS5xikRk8La,19,29-835-631-4258,ress Tiresias haggle across the never ironic ideas. blithely pending theodolites cajole ironically
782,Customer#000000782,HFuyemzqz0g QhkL,19,29-850-576-7450,usly bold deposits-- furiously ironic accoun
808,Customer#000000808,S2WkSKCGtnbhcFOp6MWcuB3rzFlFemVNrg ,19,29-531-319-7726, unusual deposits. furiously even packages against the furiously even ac
832,Customer#000000832,eNIy9PatAWlh0,19,29-264-864-8387,the special ideas. finally ironic accounts doubt. slyly regular ideas
918,Customer#000000918,WSptkDdGQQyJ6,19,29-992-318-6425,s boost furiously slyly final dependencies! fluffily regular sheaves nag fluffily. slyly even courts sleep sl
930,Customer#000000930,84jHYR8u2XvhyT,19,29-562-904-5451,sual ideas according to the furiously regul
939,Customer#000000939,jYaDdfxAlL1aVKPfN,19,29-627-844-1293,ages integrate carefully. sometimes even sheaves wake sometimes unusual ac
940,Customer#000000940,"T7ROXBXdajS,vkwy3VuC8wNvA",19,29-958-573-1004,ent accounts. slyly even accounts breach across the dolphins. quickly regular pains dazzle carefully. sl
